Job Title,Rating,Salary Estimate Min,Salary Estimate Max,CompanyName,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Sr Data Scientist,4.2,$90K,$109K ,bioMérieux,"Saint Louis, MO","Marcy-l'Etoile, France",10000+ employees,1963,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),
Data Scientist,4.5,$101K,$165K ,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
Experienced Data Scientist,4.4,$101K,$165K ,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,Company - Private,Federal Agencies,Government,,
Machine Learning Engineer,,$101K,$165K ,Radical Convergence,"Reston, VA",,,,,,,,
Data Scientist,3.5,$101K,$165K ,Leidos,"Fort Meade, MD","Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),
Data Scientist,4.5,$101K,$165K ,Demandbase,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Engagio, Bombora, Terminus"
Say Business Data Analyst,4.1,$101K,$165K ,Shelter Insurance,"Columbia, MO","Columbia, MO",1001 to 5000 employees,1946,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),
Geospatial Data Scientist,3.5,$101K,$165K ,Maxar Technologies,"Chantilly, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),
Data Analyst,2.7,$101K,$165K ,USAC,"Washington, DC","Washington, DC",501 to 1000 employees,1997,Nonprofit Organization,Telecommunications Services,Telecommunications,$25 to $50 million (USD),
Computational Scientist,3.4,$101K,$165K ,General Dynamics Information Technology,"Vicksburg, MS","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman"
Data Scientist,4.4,$101K,$165K ,Offerpad,"Chandler, AZ","Chandler, AZ",201 to 500 employees,2015,Company - Private,Real Estate,Real Estate,,
Senior Data Analyst,4,$101K,$165K ,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),
Senior Data Analyst,4.2,$101K,$165K ,Autodesk,"San Francisco, CA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),
Data Engineer,3.5,$101K,$165K ,Magna International Inc.,"Birmingham, AL","Aurora, Canada",10000+ employees,1957,Company - Public,,,$10+ billion (USD),"Bosch, Lear Corporation, Faurecia"
Sr Data Analyst,2.3,$101K,$165K ,United BioSource,"Blue Bell, PA","Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covance, ICON"
Data Scientist,3.4,$101K,$165K ,Kelly,"Chicago, IL","Troy, MI",5001 to 10000 employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),"Adecco, ManpowerGroup, Allegis Corporation"
"Machine Learning Scientist - Bay Area, CA",3.3,$101K,$165K ,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
Data Scientist,4.7,$101K,$165K ,C3.ai,"Redwood City, CA","Redwood City, CA",201 to 500 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"GE Digital, Palantir Technologies, Uptake"
Senior Data Scientist - Algorithms,3.9,$101K,$165K ,Quartet Health,"New York, NY","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Data Analyst,3.3,$101K,$165K ,Midland Credit Management,"San Diego, CA","San Diego, CA",1001 to 5000 employees,1953,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion (USD),PRA Group
Senior Data & Machine Learning Scientist,3.3,$101K,$165K ,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
Data Engineer,4.4,$101K,$165K ,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),
"Data Scientist - Statistics, Early Career",3.7,$56K,$97K ,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
Data Scientist,3.5,$56K,$97K ,Buckman,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),
Machine Learning Engineer,3.6,$56K,$97K ,Buckman,"Memphis, TN","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),
Research Scientist - Patient-Centered Research (Remote),3.8,$56K,$97K ,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON"
Jr. Business Data Analyst (position added 6/12/2020),4.7,$56K,$97K ,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),
Sr. Data Scientist II,3.5,$56K,$97K ,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),
Data Scientist,3.3,$56K,$97K ,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),
Senior Data Analyst,3.9,$56K,$97K ,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,,
Lead Data Scientist,3.7,$56K,$97K ,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),
Production Engineer - Statistics/Data Analysis,3.9,$56K,$97K ,Natera,"San Carlos, CA","San Carlos, CA",501 to 1000 employees,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Genomic Health, 23andMe, Illumina"
Statistical Scientist,4,$56K,$97K ,Genentech,"South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),
Computational Behavioral Scientist,4.2,$56K,$97K ,Ntrepid,"Herndon, VA","Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Bromium, FireEye, Authentic8"
Principal Data Scientist - Machine Learning,3.6,$56K,$97K ,Constant Contact,"Waltham, MA","Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,,"Drip, iContact, Mailchimp"
